Date,Transect,Species,Replicate,Branch_Length_(cm),Ramification
20211030,1,ARTCAL,1,45,7
20211030,1,ARTCAL,2,40,2
20211030,1,ARTCAL,3,63,5
20211030,1,ARTCAL,4,36,9
20211030,1,ARTCAL,5,53,8
20211104,4,CEBE,1,137,12
20211104,4,CEBE,2,85,13
20211104,4,CEBE,3,70,17
20211104,4,CEBE,4,63,18
20211104,4,CEBE,5,70,17
20211104,4,ARTCAL,1,48,7
20211104,4,ARTCAL,2,47,6
20211104,4,ARTCAL,3,64,9
20211104,4,ARTCAL,4,42,8
20211104,4,ARTCAL,5,63,8
20211104,4,SALU,1,65,12
20211104,4,SALU,2,35,9
20211104,4,SALU,3,42,8
20211104,4,SALU,4,41,14
20211104,4,SALU,5,38,6
20211110,4,MIAR,1,42,12
20211110,4,MIAR,2,32,9
20211110,4,MIAR,3,40,16
20211112,2,ARCA,1,36,4
20211112,2,ARCA,2,44,5
20211112,2,ARCA,3,30,4
20211112,2,ARCA,4,30,7
20211112,2,ARCA,5,41,6
20211113,6,CBE,1,48,14
20211113,6,CBE,2,61,18
20211113,6,CBE,3,70,18
20211113,6,CBE,4,57,15
20211113,6,CBE,5,65,12
20211113,6,ARCA,1,86,15
20211113,6,ARCA,2,50,5
20211113,6,ARCA,3,64,9
20211113,6,ARCA,4,60,6
20211113,6,ARCA,5,55,4
20211114,7,SALE,1,58,9
20211114,7,SALE,2,77,12
20211114,7,SALE,3,73,10
20211114,7,SALE,4,65,23
20211114,7,SALE,5,62,29
20211114,7,ARCA,1,71,12
20211114,7,ARCA,2,57,8
20211114,7,ARCA,3,69,9
20211114,7,ARCA,4,71,12
20211114,7,ARCA,5,64,7